website,domain,phones,addresses,status,retries,facebook_links,instagram_links,youtube_links,twitter_links,linkedin_links,error,company_commercial_name,company_legal_name,company_all_available_names
http://aop3d.com,aop3d.com,"['7815071606', '9795466318074538']",[],success,0,['facebook.com/AOPthreeD'],['instagram.com/aop3d'],[],[],[],,AOP3D tech,AOP3D ULTIMATE PC.,AOP3D tech | AOP3D | AOP3D ULTIMATE PC.
http://peacefulwolftaichi.com,peacefulwolftaichi.com,[],[],success,0,[],[],[],[],[],,Peaceful Wolf Tai,,Peaceful Wolf Tai | Peaceful Wolf T'Ai Chi Ch'uan
http://pinolevistareimagined.com,pinolevistareimagined.com,[],[],success,0,[],[],[],[],[],,Village at Novato,,Village at Novato
http://annarborhomesrealtor.com,annarborhomesrealtor.com,"['20192020', '3137177788', '20012011', '31371777889', '20182019']","['581 Wharton Street\nYpsilanti, MI 48198', '8908 Augusta Street\nWillis, MI 48191', '3417 S Zeeb Road\nAnn Arbor, MI 48103', '10697 Boyce Road\nChelsea, MI 48118']",success,0,['facebook.com/maurarains1'],[],[],[],[],,Maura Rains,,Maura Rains
http://astepabovemb.com,astepabovemb.com,['20152016'],"['721 Sandy Ln. Unit FMyrtle Beach, SC 29575']",success,0,['facebook.com/A-Step-Above-Flooring-810287332403927'],['instagram.com/astepaboveflooring'],['youtube.com/channel/UCfnhlL-4YRhTqg5w1GQ9Zkw'],['twitter.com/AStepAboveMB'],[],,A Step Above Flooring,Step Above LLC.,A Step Above Flooring | A Step Above Flooring - Home | Step Above LLC.
http://proexecstaffing.com,proexecstaffing.com,['7132482245'],[],success,0,['facebook.com/proexecstaffing'],[],[],['twitter.com/exec_pro'],['linkedin.com/company/pro-exec-staffing'],,Pro-Exec Staffing LLC.,Pro-Exec Staffing LLC.,Pro-Exec Staffing LLC. | Pro Exec Staffing
http://kickitupquilting.com,kickitupquilting.com,[],[],success,0,['facebook.com/KickItUpQuilting'],['instagram.com/kickitupquilting'],[],[],[],,Kick It Up Quilting,,Kick It Up Quilting | Kick It Up Quilting2
http://torget.org,torget.org,['9403695116'],[],success,0,[],[],[],[],[],,Torget,,Torget
http://thebeautyteam.com,thebeautyteam.com,['9089175233'],[],success,0,['facebook.com/The-Beauty-Team-NJ-1524388267839855'],['instagram.com/thebeautyteamnj'],[],[],['linkedin.com/in/daniela-brozkova-3b084b9'],,THE BEAUTY TEAM LLC.,THE BEAUTY TEAM LLC.,THE BEAUTY TEAM LLC. | The Beauty Team Inc. | THE BEAUTY TEAM
http://off-trail.co,off-trail.co,['34567456789012'],[],success,0,[],['instagram.com/offtrail.co'],[],[],[],,Off trail,,Off trail
http://sharonkinghoge.com,sharonkinghoge.com,[],[],success,0,[],[],[],['twitter.com/SharonKingHoge'],[],,Sharon King Hoge,,Sharon King Hoge
http://busiup.com,busiup.com,[],[],success,0,[],[],[],[],[],,BusiUp,,BusiUp
http://stitchncluck.com,stitchncluck.com,[],[],success,0,[],[],[],[],[],,Stitch and Cluck,,Stitch and Cluck
http://alpha-research-associates-research-institute.business.site,alpha-research-associates-research-institute.business.site,[],[],success,0,[],[],[],[],[],,Alpha Research Associates,Alpha Research Associates Research Institute,Alpha Research Associates | Alpha Research Associates Research Institute
http://hyhp.org,hyhp.org,[],"['1310 Punahou Street Honolulu, HI 96826']",success,0,['facebook.com/hawaiiyhp'],['instagram.com/hawaiiyhp'],[],[],['linkedin.com/company/hyhp'],,HYHP,,HYHP | Hawai'i Young Healthcare Professionals
http://truyasushica.com,truyasushica.com,['950514082444534'],[],success,0,[],[],[],[],[],,Truya Sushi,,Truya Sushi
http://propertyguysnj.com,propertyguysnj.com,[],[],success,0,[],[],[],[],[],,Property Guys,,Property Guys | Property Guys NJ
http://scienceeducators.org,scienceeducators.org,[],[],success,0,[],[],[],[],[],,Science Educators,,Science Educators
http://marrs-jonesfuneralhome.com,,[],[],failed,0,[],[],[],[],[],Failed to retrieve page content,,,
http://davidprieto.realestate,davidprieto.realestate,['91316818'],[],success,0,"['facebook.com/2008', 'facebook.com/DPREServices']",[],[],['twitter.com/share'],['linkedin.com/in/david-prieto-0a908330'],,Sync Brokerage,,Sync Brokerage
http://ascend-tech.us,ascend-tech.us,[],[],success,0,[],[],[],['twitter.com/AscendSoftTech'],['linkedin.com/company/ascendant-software-technology-llc'],,Ascendant Software Technology,Ascendant Software Technology LLC.,Ascendant Software Technology | Ascendant Software | Ascendant Software Technology LLC.
http://buryservices.com,buryservices.com,[],"['4358 W Vickery Blvd, Fort Worth, TX 76107']",success,0,[],[],[],[],[],,Bury Services,,Bury Services
http://fuecid.shop,fuecid.shop,[],[],success,0,[],[],[],[],[],,FUECID,,FUECID | Store Group Holdings Ltd.
http://amwindowcleaning.org,amwindowcleaning.org,[],[],success,0,[],[],[],[],[],,A & M Window Cleaning,,A & M Window Cleaning
http://stewartgrain.com,stewartgrain.com,"['2177597938', '7659862254']",[],success,0,"['facebook.com/plugins', 'facebook.com/stewartgrainco']",[],[],[],[],,Stewart Grain,Stewart Grain Co.,Stewart Grain | Stewart Grain Co. | Stewart Grain Co. Inc.
http://janellesrestaurant.com,janellesrestaurant.com,[],[],success,0,[],[],[],[],[],,Janelles Restaurant,,Janelles Restaurant | Janelle’s Caribbean Restaurant
http://fanbladedesigns.com,fanbladedesigns.com,['2087204041'],[],success,0,['facebook.com/pages'],['instagram.com/fanbladedesigns'],[],"['twitter.com/fanbladedesigns', 'twitter.com/widgets', 'twitter.com/FanBladeDesigns']",[],,Fan Blade Designs,,Fan Blade Designs | Fan Sox
http://justgooglebenhiggins.com,justgooglebenhiggins.com,[],[],success,0,[],[],[],[],[],,Ben Higgins,,Ben Higgins
http://ghostmountain.org,ghostmountain.org,[],[],success,0,[],['instagram.com/ghostmountainpdx'],[],[],[],,Ghost Mountain,,Ghost Mountain
http://warnby.com,warnby.com,[],[],success,0,[],[],[],[],[],,Warnby,,Warnby
http://crawfordproduction.com,crawfordproduction.com,[],[],success,0,[],[],[],[],[],,Crawford Production,,Crawford Production
http://miltongeorgialiving.com,miltongeorgialiving.com,[],[],success,0,[],[],[],[],[],,Milton GA Living,,Milton GA Living
http://timemusicgroupnyc.com,timemusicgroupnyc.com,[],[],success,0,['facebook.com/mindlessbehavior'],['instagram.com/officialmbmusic'],['youtube.com/user/ddrums123'],['twitter.com/officialmbmusic'],[],,Time Music Group,TIME MUSIC GROUP LLC.,Time Music Group | TIME MUSIC GROUP LLC.
http://arnoldprint.com,arnoldprint.com,"['176034475', '7173925491']","['53 Eastman Ave, Lancaster, PA 17603', '110 South Manor Street Mountville, PA 17554']",success,0,[],[],[],[],[],,Arnold Printed Communications,Arnold Printed Co.,Arnold Printed Comm | Arnold Printed | Arnold Business Forms Inc. | Arnold Printed Communications | Arnold Printed Co.
http://jrmatheny.com,jrmatheny.com,[],[],success,0,['facebook.com/2008'],['instagram.com/jrmatheny'],[],['twitter.com/jason_r_matheny'],[],,JRM designcreative,,JRM designcreative
http://2701jamesmwood.com,2701jamesmwood.com,"['2132474210', '20212701']","['2701 James M Wood Blvd Los Angeles , CA 90006']",success,0,[],[],[],[],[],,2701 James M wood,,2701 James M wood
http://gygeneralservices.business.site,gygeneralservices.business.site,[],[],success,0,[],[],[],[],[],,G&Y GeneralWashServices Corp.,G&Y GeneralWashServices Corp.,G&Y GeneralWashServices Corp.
http://floraottimer.com,floraottimer.com,[],[],success,0,"['facebook.com/tr', 'facebook.com/floraottimer']",['instagram.com/floraottimer'],[],[],[],,Flora Ottimer,Flora Ottimer LLC.,Flora Ottimer | Flora Ottimer LLC. | Flora Ottimer Children's Boutique | Pandawear Corp.
http://nbwatergardens.com,nbwatergardens.com,['653406602293777'],[],success,0,[],[],[],[],[],,Nature's Beauty Water Gardens,,Nature's Beauty Water Gardens | Nbwatergardens
http://forcht-law.com,forcht-law.com,[],[],success,0,[],[],[],[],[],,Melan M Forcht Law Offices,,Melan M Forcht Law Offices | Law Office of Melan M. Forcht
http://ericamhill.com,ericamhill.com,[],[],success,0,['facebook.com/2008'],[],[],[],[],,Erica Hill,,Erica Hill
http://koimountain.com,koimountain.com,[],[],success,0,[],[],[],[],[],,Koi Mountain,,Koi Mountain | Koi MountainBath-and-body
http://philippineflowers.com,philippineflowers.com,['20002025'],[],success,0,[],[],[],[],[],,Philippineflowers,,Philippineflowers | Philippineflowers.c
http://infinitiofsouthatlanta.com,infinitiofsouthatlanta.com,[],[],success,0,[],[],[],[],[],,INFINITI of SOUTH,,INFINITI of SOUTH | INFINITI of SOUTH ATLANTA
http://pinehavenresort.com,pinehavenresort.com,"['21314151617181920212', '123456789101112131', '41516171819202122232', '12345678910111', '20250124', '4252627282930', '2232425262728293031', '123456789101112', '2186822547']",[],success,0,"['facebook.com/HackCFC', 'facebook.com/login', 'facebook.com/bearpausetheater', 'facebook.com/Pine-Haven-Resort-on-Blackwater-Lake-130381357029056', 'facebook.com/NorLightsCasino']",[],[],[],[],,Pine Haven Resort,,Pine Haven Resort
http://cavachonsofoklahoma.com,cavachonsofoklahoma.com,[],[],success,0,[],[],[],[],[],,Cavachons of Oklahoma,,Cavachons of Oklahoma
http://hypnosishealthworks.com,hypnosishealthworks.com,['3104041256'],[],success,0,[],[],[],[],[],,Nancy Epstein Hypnosis HealthWorks,Joy Beland LA IT GIRL LLC.,Nancy Epstein Hypnosis HealthWorks | Hypnosis HealthWorks | Joy Beland LA IT GIRL LLC.
